iter	Passed	Remaining
877	9419	1308
878	9426	1297
879	9458	1289
880	9468	1278
881	9477	1267
882	9488	1257
883	9497	1246
884	9511	1235
885	9519	1224
886	9530	1214
887	9540	1203
888	9554	1192
889	9561	1181
890	9571	1170
891	9580	1159
892	9586	1148
893	9601	1138
894	9610	1127
895	9616	1116
896	9628	1105
897	9637	1094
898	9646	1083
899	9652	1072
900	9661	1061
901	9670	1050
902	9679	1039
903	9688	1028
904	9700	1018
905	9711	1007
906	9719	996
907	9734	986
908	9744	975
909	9754	964
910	9767	954
911	9777	943
912	9790	932
913	9799	922
914	9811	911
915	9820	900
916	9834	890
917	9841	879
918	9851	868
919	9864	857
920	9873	846
921	9885	836
922	9894	825
923	9908	814
924	9948	806
925	9959	795
926	9973	785
927	9993	775
928	10005	764
929	10015	753
930	10024	742
931	10032	731
932	10043	721
933	10057	710
934	10070	700
935	10082	689
936	10097	678
937	10109	668
938	10119	657
939	10133	646
940	10142	635
941	10153	625
942	10164	614
943	10174	603
944	10182	592
945	10193	581
946	10201	570
947	10207	559
948	10217	549
949	10229	538
950	10239	527
951	10251	516
952	10263	506
953	10273	495
954	10281	484
955	10288	473
956	10297	462
957	10306	451
958	10315	441
959	10327	430
960	10339	419
961	10350	408
962	10359	398
963	10370	387
964	10379	376
965	10397	365
966	10418	355
967	10436	345
968	10448	334
969	10468	323
970	10485	313
971	10497	302
972	10525	292
973	10539	281
974	10573	271
975	10590	260
976	10597	249
977	10606	238
978	10616	227
979	10624	216
980	10635	205
981	10644	195
982	10656	184
983	10665	173
984	10676	162
985	10685	151
986	10695	140
987	10706	130
988	10716	119
989	10726	108
990	10734	97
991	10747	86
992	10758	75
993	10769	65
994	10782	54
995	10792	43
996	10801	32
997	10813	21
998	10821	10
999	10829	0
